zip_code,latitude,longitude,city,state,county
71720,33.715918,-92.844808,Bearden,AR,Ouachita
71721,34.055486,-93.189406,Beirne,AR,Clark
71722,33.70082,-93.294126,Bluff City,AR,Nevada
71724,33.266043,-92.597514,Calion,AR,Union
71725,34.101037,-92.516827,Carthage,AR,Dallas
71726,33.665157,-92.996873,Chidester,AR,Ouachita
71728,34.010316,-93.097627,Curtis,AR,Clark
71730,33.187446,-92.630038,El Dorado,AR,Union
71731,33.198024,-92.52891,El Dorado,AR,Union
71740,33.112106,-93.203998,Emerson,AR,Columbia
71742,33.935138,-92.610536,Fordyce,AR,Dallas
71743,33.930011,-93.129994,Gurdon,AR,Clark
71744,33.516751,-92.582269,Hampton,AR,Calhoun
71745,33.535994,-92.543915,Harrell,AR,Calhoun
71747,33.164568,-92.393701,Huttig,AR,Union
71748,33.97547,-92.647817,Ivan,AR,Dallas
71749,33.16579,-92.768091,Junction City,AR,Union
71750,33.198024,-92.52891,Lawson,AR,Union
71751,33.416913,-92.777026,Louann,AR,Ouachita
71752,33.373136,-93.18731,Mc Neil,AR,Columbia
71753,33.206807,-93.224021,Magnolia,AR,Columbia
71754,33.242571,-93.22996,Magnolia,AR,Columbia
71758,33.302589,-92.817651,Mount Holly,AR,Union
71759,33.321864,-92.646905,Norphlet,AR,Union
71762,33.194725,-92.523809,Smackover,AR,Union
71763,33.914288,-92.853193,Sparkman,AR,Dallas
71764,33.46053,-93.011863,Stephens,AR,Ouachita
71765,33.169586,-92.331829,Strong,AR,Union
71766,33.776795,-92.48616,Thornton,AR,Calhoun
71767,33.535994,-92.543915,Hampton,AR,Calhoun
71768,33.198024,-92.52891,Urbana,AR,Union
71769,33.236156,-93.234494,Village,AR,Columbia
71770,33.350437,-93.302374,Waldo,AR,Columbia
71772,33.832537,-93.1238,Whelen Springs,AR,Clark
71801,33.673559,-93.606807,Hope,AR,Hempstead
71802,33.765584,-93.559162,Hope,AR,Hempstead
71820,33.778125,-94.270165,Alleene,AR,Little River
71822,33.704625,-94.130221,Ashdown,AR,Little River
71823,33.837053,-94.120289,Ben Lomond,AR,Sevier
71825,33.882525,-93.621434,Blevins,AR,Hempstead
71826,33.202695,-93.556966,Bradley,AR,Lafayette
71827,33.397484,-93.434895,Buckner,AR,Lafayette
71828,33.70082,-93.294126,Cale,AR,Nevada
71831,33.793524,-93.807007,Columbus,AR,Hempstead
71832,34.050929,-94.28072,De Queen,AR,Sevier
71833,34.136218,-94.044286,Dierks,AR,Howard
71834,33.441724,-94.023737,Doddridge,AR,Miller
71835,33.761471,-93.42928,Emmet,AR,Nevada
71836,33.734105,-94.37246,Foreman,AR,Little River
71837,33.261629,-93.886621,Fouke,AR,Miller
71838,33.669917,-93.79752,Fulton,AR,Hempstead
71839,33.25024,-93.612966,Garland City,AR,Lafayette
